brand,model,total_sales,avg_price_inr,avg_range_miles,avg_rating
Tesla,Model Y,39398760,7630355.59,259.73,3.79
Tesla,Model S,16704746,8047624.31,259.66,3.79
Tesla,Cybertruck,16491914,7817547.76,256.68,3.76
Tesla,Model 3,16137625,8078517.0,260.52,3.8
Tesla,Model X,12726437,7387992.56,257.65,3.75
Volkswagen,ID.4,11117731,6180017.12,256.73,3.49
Volkswagen,ID.3,10556878,5054988.95,263.6,3.51
Volkswagen,ID. Aero,10100659,6044559.79,270.24,3.5
Volkswagen,ID. Buzz,9565584,5604415.41,262.13,3.51
BYD,Atto 3,9383723,5105095.08,272.08,3.49
BYD,Dolphin,9040457,4593322.97,265.33,3.5
BYD,Qin,7963337,4787806.54,261.91,3.5
BYD,Seagull,7239192,5001777.24,269.9,3.57
BYD,Max,6971721,5702393.51,256.27,3.46
Volkswagen,ID.5,6845805,5350962.23,273.93,3.54
BYD,Leaf 50X,5057304,5331327.94,266.45,3.52
BYD,Yuan Plus,4816883,4712072.56,240.41,3.48
Kia,EV9,3869130,5227290.45,268.0,3.5
Kia,Picanto EV,3850112,5202278.7,266.03,3.48
Hyundai,Ioniq 5,3742323,4970646.71,248.54,3.48
