brand,models,avg_price_inr,avg_range_miles,avg_battery_kwh,total_sales,avg_rating,count
Tesla,5,7809168.47,258.89,73.94,101459482,3.78,434
BYD,7,5017084.22,263.24,74.81,50472617,3.5,282
Volkswagen,5,5670929.95,264.59,75.71,48186657,3.51,194
Kia,5,5497277.22,261.95,74.83,16612129,3.47,166
Hyundai,5,5047990.08,265.66,76.12,15223045,3.49,152
BMW,5,8188205.73,263.21,75.07,7445149,3.48,150
Ford,4,5444122.27,259.3,73.82,6057329,3.48,129
Mercedes,5,10747942.5,270.79,77.68,4982856,3.81,96
Audi,4,7838590.9,250.08,71.53,3811099,3.49,77
GM/Chevrolet,5,4780133.84,260.92,73.8,2292030,3.51,143
Toyota,2,5489150.39,269.66,77.17,603411,3.53,41
Rivian,4,7512827.13,268.7,76.42,578395,3.5,37
NIO,5,7057989.0,244.3,69.6,401127,3.42,23
Fisker,2,7406396.49,253.2,71.16,391554,3.45,25
Porsche,2,13113741.68,274.86,77.61,226297,3.82,14
Volvo,3,6530253.6,267.83,74.89,181733,3.47,12
Xiaomi,1,6587715.91,224.12,66.73,160977,3.48,8
Lucid,2,16075159.34,251.5,68.7,114812,3.31,6
Polestar,3,7500646.16,267.56,74.28,88852,3.48,9
Honda,2,4674801.36,326.0,92.85,17633,3.66,2
