brand,model,year,variant,horsepower,torque_nm,acceleration_0_60_mph,top_speed_mph,price_inr,market_segment,power_to_price
Tesla,Model X,2023,Performance,1000.0,848.0,3.22,200.0,13733050.44,Luxury,72.817
BYD,Seagull,2023,Premium,1000.0,898.0,7.02,143.0,9139125.1,Luxury,109.4197
Hyundai,Kona Electric,2025,Long Range,1000.0,954.0,5.49,166.0,7764621.58,Premium,128.7893
BYD,Max,2024,Premium,1000.0,896.0,6.44,152.0,8804395.31,Luxury,113.5796
Kia,Niro EV,2024,Performance,1000.0,919.0,3.24,200.0,8846546.11,Luxury,113.0385
Hyundai,Ioniq 6,2025,Performance,1000.0,905.0,3.08,200.0,7184820.12,Premium,139.1823
Ford,Mustang Mach-E,2025,Performance,1000.0,924.0,3.87,188.0,8060049.59,Premium,124.0687
BYD,Yuan Plus,2024,Performance,1000.0,902.0,3.42,200.0,9589108.27,Luxury,104.285
Kia,Picanto EV,2025,Premium,1000.0,855.0,7.95,135.0,8921824.7,Luxury,112.0847
Tesla,Model S,2025,Premium,1000.0,901.0,6.19,153.0,14744639.58,Luxury,67.8213
Rivian,R2,2025,Long Range,1000.0,892.0,4.5,180.0,8532601.98,Luxury,117.1975
GM/Chevrolet,Silverado EV,2023,Performance,1000.0,920.0,2.96,200.0,7986612.18,Premium,125.2095
Kia,EV6,2025,Performance,1000.0,877.0,4.5,191.0,9799212.64,Luxury,102.049
Volkswagen,ID. Buzz,2023,Performance,1000.0,854.0,3.16,198.0,9268074.15,Luxury,107.8973
Ford,Explorer EV,2026,Premium,1000.0,983.0,5.05,163.0,8322276.33,Premium,120.1594
Tesla,Model X,2024,Performance,1000.0,899.0,3.61,197.0,11596407.36,Luxury,86.2336
BYD,Leaf 50X,2025,Premium,1000.0,906.0,6.81,147.0,9142881.76,Luxury,109.3747
BMW,i3,2024,Long Range,1000.0,988.0,4.2,193.0,10052347.9,Luxury,99.4792
BMW,i7,2025,Performance,1000.0,908.0,4.2,190.0,13090619.82,Luxury,76.3906
BMW,iX,2025,Long Range,1000.0,946.0,5.06,178.0,11140325.34,Luxury,89.764
Kia,Sportage EV,2025,Premium,1000.0,893.0,6.77,149.0,7448246.76,Premium,134.2598
BMW,i3,2024,Performance,1000.0,922.0,3.59,186.0,10290184.29,Luxury,97.18
GM/Chevrolet,Silverado EV,2024,Premium,1000.0,911.0,5.27,170.0,6752777.76,Premium,148.0872
Volkswagen,ID.4,2022,Performance,1000.0,878.0,2.5,200.0,8130644.66,Premium,122.9915
GM/Chevrolet,Equinox EV,2022,Premium,1000.0,913.0,5.92,163.0,6927833.01,Premium,144.3453
Tesla,Model S,2025,Performance,1000.0,898.0,3.53,200.0,14126310.4,Luxury,70.7899
Kia,EV9,2024,Performance,1000.0,905.0,2.61,200.0,8990432.48,Luxury,111.2294
Ford,Explorer EV,2024,Premium,1000.0,931.0,7.58,126.0,7248616.63,Premium,137.9574
Kia,Sportage EV,2021,Performance,1000.0,906.0,3.5,197.0,7706761.92,Premium,129.7562
Kia,Sportage EV,2022,Long Range,1000.0,921.0,4.03,187.0,7468888.8,Premium,133.8887
Ford,F-150 Lightning,2024,Long Range,1000.0,902.0,4.68,187.0,7410088.93,Premium,134.9511
