brand,model,year,variant,price_usd,battery_capacity_kwh,range_miles,charging_speed_kw,acceleration_0_60_mph,top_speed_mph,horsepower,torque_nm,drive_type,seating_capacity,body_type,cargo_volume_cubic_ft,weight_kg,safety_rating,autopilot_level,country_of_origin,market_segment,annual_sales_units,customer_rating,warranty_years,price_inr,price_per_kwh_inr,range_per_10k_inr,range_per_kwh,value_score,price_bucket
Volkswagen,ID. Buzz,2023,Performance,104880.8,118.7,400.0,234.5,3.04,195.0,1000.0,895.0,AWD,7,Truck,54.2,2015.0,4,2,Germany,Luxury,202182,4.0,4,8757546.8,73778.83,0.4567,3.3698,45.6749,₹75–100L
Toyota,bZ Compact SUV,2022,Premium,48217.41,58.8,219.0,148.1,5.77,159.0,381.0,360.0,FWD,5,SUV,69.0,1709.0,4,0,Japan,Mid-range,7146,3.56,3,4026153.74,68472.0,0.5439,3.7245,54.3943,₹25–50L
GM/Chevrolet,Bolt EV,2024,Premium,49651.12,58.2,225.0,104.9,6.84,148.0,588.0,516.0,AWD,5,Van,77.0,1533.0,4,1,US,Mid-range,16590,3.7,3,4145868.52,71234.85,0.5427,3.866,54.2709,₹25–50L
Kia,Sportage EV,2024,Long Range,38131.56,102.5,349.0,66.5,4.66,176.0,310.0,327.0,AWD,7,SUV,65.8,1935.0,4,2,South Korea,Mid-range,127201,3.81,3,3183985.26,31063.27,1.0961,3.4049,109.6111,₹25–50L
Tesla,Model 3,2022,Long Range,144079.87,93.9,314.0,298.5,5.64,165.0,1000.0,883.0,RWD,5,SUV,38.3,2229.0,4,2,US,Luxury,196401,3.83,4,12030669.14,128122.14,0.261,3.344,26.1,₹100–150L
Tesla,Model Y,2023,Performance,119590.27,78.3,251.0,334.6,2.84,200.0,947.0,858.0,AWD,5,Hatchback,35.5,1751.0,5,3,US,Luxury,411764,3.67,5,9985787.54,127532.41,0.2514,3.2056,25.1357,₹75–100L
Tesla,Model 3,2024,Premium,128427.66,68.6,222.0,201.9,6.68,149.0,992.0,899.0,RWD,5,Coupe,39.3,1500.0,5,2,US,Luxury,213937,3.54,6,10723709.61,156322.3,0.207,3.2362,20.7018,₹100–150L
Mercedes,EQS,2025,Performance,131074.23,82.7,292.0,202.5,2.99,200.0,764.0,737.0,RWD,7,SUV,61.2,2219.0,4,2,Germany,Luxury,48277,4.11,8,10944698.2,132342.18,0.2668,3.5308,26.6796,₹100–150L
Kia,Niro EV,2021,Premium,80530.57,54.6,184.0,67.5,7.57,137.0,976.0,864.0,AWD,7,Hatchback,36.7,1511.0,3,1,South Korea,Premium,90830,3.11,4,6724302.6,123155.73,0.2736,3.37,27.3634,₹50–75L
GM/Chevrolet,Blazer EV,2025,Base,56944.53,69.9,251.0,117.1,6.68,149.0,703.0,604.0,FWD,7,Van,67.6,1520.0,5,2,US,Mid-range,8761,3.46,5,4754868.26,68023.87,0.5279,3.5908,52.788,₹25–50L
Tesla,Model S,2026,Long Range,134165.81,103.2,347.0,324.4,4.56,187.0,993.0,949.0,AWD,5,Sedan,26.7,1720.0,4,2,US,Luxury,211478,3.78,4,11202845.14,108554.7,0.3097,3.3624,30.9743,₹100–150L
Fisker,Ronin,2025,Standard,88914.19,66.7,232.0,129.5,5.1,173.0,727.0,689.0,AWD,7,Truck,64.7,2536.0,3,2,US,Premium,2408,3.67,5,7424334.86,111309.37,0.3125,3.4783,31.2486,₹50–75L
Mercedes,EQG,2025,Performance,210811.92,93.2,320.0,166.5,2.84,200.0,1000.0,919.0,RWD,7,Hatchback,17.6,1562.0,5,2,Germany,Luxury,56039,3.59,7,17602795.32,188871.19,0.1818,3.4335,18.1789,₹150–200L
BYD,Seagull,2023,Base,16394.33,41.8,158.0,73.9,6.41,155.0,150.0,200.0,FWD,5,Coupe,26.9,1744.0,5,0,China,Budget,224997,3.58,5,1368926.56,32749.44,1.1542,3.7799,115.4189,<₹25L
Tesla,Model 3,2024,Premium,95912.83,49.8,167.0,241.7,7.45,138.0,716.0,627.0,FWD,7,Sedan,15.7,1556.0,4,3,US,Premium,124780,3.56,5,8008721.3,160817.7,0.2085,3.3534,20.8523,₹75–100L
Tesla,Model S,2024,Premium,134964.13,67.4,250.0,343.3,7.46,135.0,992.0,875.0,RWD,5,Van,76.0,1500.0,5,2,US,Luxury,235048,3.81,5,11269504.86,167203.34,0.2218,3.7092,22.1838,₹100–150L
BYD,Atto 3,2024,Standard,64427.02,70.5,265.0,51.0,6.91,138.0,711.0,662.0,RWD,7,Truck,72.2,2756.0,5,1,China,Mid-range,204232,3.52,4,5379656.17,76307.18,0.4926,3.7589,49.2597,₹50–75L
Hyundai,Kona Electric,2024,Premium,63139.95,81.0,275.0,96.7,7.45,141.0,743.0,649.0,RWD,5,Coupe,21.9,1750.0,4,1,South Korea,Mid-range,132242,3.43,5,5272185.82,65088.71,0.5216,3.3951,52.1605,₹50–75L
Volkswagen,ID.4,2024,Long Range,77030.0,88.0,332.0,118.8,4.75,183.0,826.0,707.0,AWD,7,Sedan,38.7,1634.0,4,0,Germany,Premium,238587,3.37,4,6432005.0,73090.97,0.5162,3.7727,51.6169,₹50–75L
BYD,Atto 3,2024,Premium,72336.67,77.9,295.0,60.5,5.5,178.0,800.0,732.0,AWD,5,Van,60.6,1500.0,3,1,China,Premium,168778,3.53,3,6040111.94,77536.74,0.4884,3.7869,48.8402,₹50–75L
Kia,Picanto EV,2025,Premium,106848.2,54.1,193.0,132.7,7.95,135.0,1000.0,855.0,AWD,5,Coupe,26.9,1500.0,4,1,South Korea,Luxury,85618,3.33,5,8921824.7,164913.58,0.2163,3.5675,21.6323,₹75–100L
Tesla,Cybertruck,2023,Base,70531.96,70.5,256.0,281.7,5.5,165.0,507.0,445.0,AWD,7,Truck,72.0,2290.0,5,2,US,Premium,209622,3.6,4,5889418.66,83537.85,0.4347,3.6312,43.4678,₹50–75L
BYD,Yuan Plus,2024,Performance,114839.62,76.6,293.0,185.3,3.42,200.0,1000.0,902.0,RWD,5,SUV,68.0,1978.0,5,0,China,Luxury,229532,3.41,4,9589108.27,125184.18,0.3056,3.8251,30.5555,₹75–100L
Volkswagen,ID.5,2024,Long Range,51142.17,101.7,359.0,99.2,5.15,161.0,493.0,434.0,RWD,5,Coupe,26.9,1500.0,4,0,Germany,Mid-range,203079,3.64,5,4270371.2,41989.88,0.8407,3.53,84.0676,₹25–50L
Volkswagen,ID. Aero,2026,Standard,59824.88,70.9,263.0,63.4,5.9,167.0,618.0,540.0,AWD,5,Sedan,34.8,1781.0,3,0,Germany,Mid-range,293709,3.28,5,4995377.48,70456.66,0.5265,3.7094,52.6487,₹25–50L
Ford,Mustang Mach-E,2025,Performance,96527.54,75.2,286.0,178.0,3.87,188.0,1000.0,924.0,FWD,7,Coupe,38.9,1500.0,3,1,US,Premium,67670,3.6,4,8060049.59,107181.51,0.3548,3.8032,35.4837,₹75–100L
Tesla,Model X,2023,Standard,67772.81,53.3,175.0,320.5,7.79,128.0,501.0,445.0,FWD,5,Sedan,28.7,1539.0,5,2,US,Premium,207968,3.36,6,5659029.64,106173.16,0.3092,3.2833,30.924,₹50–75L
